Property Name,Numerator,Denominator
NTLNLSR,NTLNLSA,LNLSGR5
NTRCDSMR,NTRCDSM,ASSET
NTRCOMOTR,NTRCOMOT,ASSET
NTRECOSR,NTRECOSA,LNRECON5
NTRELOCR,NTRELOCA,LNRELOC5
NTREMULR,NTREMULA,LNREMUL5
NTRENRSR,NTRENRSA,LNRENRE5
NTREOTHR,NTREOTHA,LNREOTH5
NTRER,NTREA,LNRE5
NTRERESR,NTRERESA,LNRERES5
NTRFCFGR,NTRFCFG,ASSET
NTRSMMDAR,NTRSMMDA,ASSET
NTRSOTHR,NTRSOTH,ASSET
OALIFGENR,OALIFGEN,ASSET
OALIFHYBR,OALIFHYB,ASSET
OALIFINSR,OALIFINS,ASSET
OALIFSEPR,OALIFSEP,ASSET
OREAGR,OREAG,ASSET
ORECONSR,ORECONS,ASSET
OREINVR,OREINV,ASSET
OREMULTR,OREMULT,ASSET
ORENRESR,ORENRES,ASSET
OREOTHR,OREOTH,ASSET
OREOTHFR,OREOTHF,ASSET
ORERESR,ORERES,ASSET
OTHFFCR,OTHFFC,ASSET
OTHOFFBSR,OTHOFFBS,ASSET
P3AGR,P3AG,ASSET
P3AGSMR,P3AGSM,ASSET
P3ASSETR,P3ASSET,ASSET
P3AUTOR,P3AUTO,ASSET
P3CIR,P3CI,ASSET
P3CINUSR,P3CINUS,ASSET
P3CONR,P3CON,ASSET
P3CONOTHR,P3CONOTH,ASSET
P3CRCDR,P3CRCD,ASSET
P3DEPR,P3DEP,ASSET
P3DEPNUSR,P3DEPNUS,ASSET
P3FGR,P3FG,ASSET
P3GTYR,P3GTY,ASSET
P3GTYGNMR,P3GTYGNM,ASSET
P3GTYPARR,P3GTYPAR,ASSET
P3LAGR,P3LAG,ASSET
P3LCIR,P3LCI,ASSET
P3LCONR,P3LCON,ASSET
P3LGTYR,P3LGTY,ASSET
P3LNSALER,P3LNSALE,ASSET
P3LOTHR,P3LOTH,ASSET
P3LREAGR,P3LREAG,ASSET
P3LRECONR,P3LRECON,ASSET
P3LREMULR,P3LREMUL,ASSET
P3LRENRSR,P3LRENRS,ASSET
P3LRERESR,P3LRERES,ASSET
P3LSR,P3LS,ASSET
P3LTOTR,P3LTOT,ASSET
P3OTHLNR,P3OTHLN,ASSET
P3RER,P3RE,ASSET
P3REAGR,P3REAG,ASSET
P3RECNFMR,P3RECNFM,ASSET
P3RECNOTR,P3RECNOT,ASSET
P3RECONSR,P3RECONS,ASSET
P3REFORR,P3REFOR,ASSET
P3RELOCR,P3RELOC,ASSET
P3REMULTR,P3REMULT,ASSET
P3RENRESR,P3RENREN,ASSET
P3RENROTR,P3RENROT,ASSET
P3RENROWR,P3RENROW,ASSET
P3RENUSR,P3RENUS,ASSET
P3RERESR,P3RERES,ASSET
P3RERSF2R,P3RERSF2,ASSET
P3RERSFMR,P3RERSFM,ASSET
P3RSLNFMR,P3RSLNFM,ASSET
P3RSLNLSR,P3RSLNLS,ASSET
P3RSLNLTR,P3RSLNLT,ASSET
P3SCDEBTR,P3SCDEBT,ASSET
P9AGR,P9AG,ASSET
P9AGSMR,P9AGSM,ASSET
P9ASSETR,P9ASSET,ASSET
P9AUTOR,P9AUTO,ASSET
P9CIR,P9CI,ASSET
P9CINUSR,P9CINUS,ASSET
P9CONR,P9CON,ASSET
P9CONOTHR,P9CONOTH,ASSET
P9CRCDR,P9CRCD,ASSET
P9DEPR,P9DEP,ASSET
P9DEPNUSR,P9DEPNUS,ASSET
P9FGR,P9FG,ASSET
P9GTYR,P9GTY,ASSET
P9GTYGNMR,P9GTYGNM,ASSET
P9GTYPARR,P9GTYPAR,ASSET
P9LAGR,P9LAG,ASSET
P9LCIR,P9LCI,ASSET
P9LCONR,P9LCON,ASSET
P9LGTYR,P9LGTY,ASSET
P9LNSALER,P9LNSALE,ASSET
P9LOTHR,P9LOTH,ASSET
P9LREAGR,P9LREAG,ASSET
P9LRECONR,P9LRECON,ASSET
P9LREMULR,P9LREMUL,ASSET
P9LRENRSR,P9LRENRS,ASSET
P9LRERESR,P9LRERES,ASSET
P9LSR,P9LS,ASSET
P9LTOTR,P9LTOT,ASSET
P9OTHLNR,P9OTHLN,ASSET
P9RER,P9RE,ASSET
P9REAGR,P9REAG,ASSET
P9RECNFMR,P9RECNFM,ASSET
P9RECNOTR,P9RECNOT,ASSET
P9RECONSR,P9RECONS,ASSET
P9REFORR,P9REFOR,ASSET
P9RELOCR,P9RELOC,ASSET
P9REMULTR,P9REMULT,ASSET
P9RENRESR,P9RENRES,ASSET
P9RENROTR,P9RENROT,ASSET
P9RENROWR,P9RENROW,ASSET
P9RENUSR,P9RENUS,ASSET
P9RERESR,P9RERES,ASSET
P9RERSF2R,P9RERSF2,ASSET
P9RERSFMR,P9RERSFM,ASSET
P9RSLNFMR,P9RSLNFM,ASSET
P9RSLNLSR,P9RSLNLS,ASSET
P9RSLNLTR,P9RSLNLT,ASSET
P9SCDEBTR,P9SCDEBT,ASSET
PARTCONVR,PARTCONV,ASSET
RB2LNRESR,RB2LNRES,ASSET
RBCT2R,RBCT2,ASSET
RBCT1JR,RBCT1J,ASSET
RBC1AAJ,RBCT1,AVASSETJ
RBCRWAJ,RBC,RWAJT
ROEINJR,NTIRTA,EQ5
RSLNLSR,RSLNLS,ASSET
RSLNLTOTR,RSLNLTOT,ASSET
RSLNREFMR,RSLNREFM,ASSET
RWAJTR,RWAJT,ASSET
SCABSR,SCABS,ASSET
SCAFR,SCAF,ASSET
SCCMOGR,SCCMOG,ASSET
SCCMOTR,SCCMOT,ASSET
SCCOLR,SCCOL,ASSET
SCCPTGR,SCCPTG,ASSET
SCEQFVR,SCEQFV,ASSET
SCFMNR,SCFMN,ASSET
SCGNMR,SCGNM,ASSET
SCGTYR,SCGTY,ASSET
SCHAR,SCHA,ASSET
SCHTMRESR,SCHTMRES,ASSET
SCLENTR,SCLENT,ASSET
SCNM1T3R,SCNM1T3,ASSET
SCNM3LESR,SCNM3LES,ASSET
SCNM3T5R,SCNM3T5,ASSET
SCNM3T12R,SCNM3T12,ASSET
SCNM5T15R,SCNM5T15,ASSET
SCNMOV15R,SCNMOV15,ASSET
SCO3YLESR,SCO3YLES,ASSET
SC1LESR,SC1LES,ASSET
SCODOTR,SCODOT,ASSET
SCODPIR,SCODPI,ASSET
SCOOV3YR,SCOOV3Y,ASSET
SCPLEDGER,SCPLEDGE,ASSET
SCPT1T3R,SCPT1T3,ASSET
SCPT3LESR,SCPT3LES,ASSET
SCPT3T5R,SCPT3T5,ASSET
SCPT3T12R,SCPT3T12,ASSET
SCPT5T15R,SCPT5T15,ASSET
SCPTOV15R,SCPTOV15,ASSET
